0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_rate_filtered,Depth_acc_filtered,
165,505,28,2.512793,2.043669,0.00796,7.96,4,-5.292,21.9198221,21.9198221,-0.431747075,
166,506,28,2.520957,2.347989,0.008164,8.164,1,0.204,21.50714744,21.50714744,-0.412674663,
167,507,27,2.525275,2.748768,0.004318,4.318,1,-3.846,20.99147302,20.99147302,-0.515674423,
168,508,27,2.527565,3.098876,0.00229,2.29,1,-2.028,20.43042883,20.43042883,-0.561044191,
169,506,27,2.528822,3.346421,0.001257,1.257,-2,-1.033,19.85522596,19.85522596,-0.575202865,
170,511,27,2.523465,3.890949,-0.005357,-5.357,5,-6.614,19.09885918,19.09885918,-0.756366779,
171,511,27,2.520443,4.201851,-0.003022,-3.022,0,2.335,18.43523341,18.43523341,-0.663625775,
172,511,26,2.51624,4.473801,-0.004203,-4.203,0,-1.181,17.75608641,17.75608641,-0.679147002,
173,510,26,2.514326,4.678419,-0.001914,-1.914,-1,2.289,17.16598381,17.16598381,-0.590102592,
174,507,26,2.512735,4.866215,-0.001591,-1.591,-3,0.323,16.6032743,16.6032743,-0.562709514,
175,506,26,2.513635,4.923755,0.0009,0.9,-1,2.491,16.13217607,16.13217607,-0.471098229,
176,502,26,2.519057,4.849383,0.005422,5.422,-4,4.522,15.81087079,15.81087079,-0.321305282,
177,499,25,2.528127,4.63654,0.00907,9.07,-3,3.648,15.60864466,15.60864466,-0.202226124,
178,492,25,2.543121,4.375456,0.014994,14.994,-7,5.924,15.59020532,15.59020532,-0.01843934,
179,487,25,2.553293,4.105224,0.010172,10.172,-5,-4.822,15.42765916,15.42765916,-0.16254616,
180,481,25,2.568591,3.723988,0.015298,15.298,-6,5.126,15.42376939,15.42376939,-0.003889775,
181,479,25,2.580681,3.405995,0.01209,12.09,-2,-3.208,15.32375631,15.32375631,-0.100013082,
182,479,24,2.592042,3.073989,0.011361,11.361,0,-0.729,15.20487362,15.20487362,-0.118882689,
183,478,24,2.602185,2.701266,0.010143,10.143,-1,-1.218,15.05301741,15.05301741,-0.151856209,
184,478,24,2.616239,2.176818,0.014054,14.054,0,3.911,15.02304689,15.02304689,-0.029970522,
185,479,24,2.625662,1.737637,0.009423,9.423,1,-4.631,14.85504548,14.85504548,-0.168001407,
186,478,24,2.637504,1.27667,0.011842,11.842,-1,2.419,14.76465412,14.76465412,-0.090391364,
187,475,24,2.6529,0.630606,0.015396,15.396,-3,3.554,14.78359449,14.78359449,0.018940376,
188,473,24,2.665309,0.088104,0.012409,12.409,-2,-2.987,14.71235666,14.71235666,-0.071237835,
189,469,24,2.679951,-0.518568,0.014642,14.642,-4,2.233,14.71024596,14.71024596,-0.0021107,
190,463,25,2.697914,-1.298481,0.017963,17.963,-6,3.321,14.80782858,14.80782858,0.097582621,
191,462,25,2.712871,-1.921812,0.014957,14.957,-1,-3.006,14.81230372,14.81230372,0.004475143,
192,459,25,2.726512,-2.528947,0.013641,13.641,-3,-1.316,14.77716461,14.77716461,-0.035139112,
193,458,25,2.73794,-3.073048,0.011428,11.428,-1,-2.213,14.67668967,14.67668967,-0.100474938,
194,460,25,2.749708,-3.687393,0.011768,11.768,2,0.34,14.58942898,14.58942898,-0.08726069,
195,462,26,2.757112,-4.126358,0.007404,7.404,2,-4.364,14.37386611,14.37386611,-0.215562869,
196,464,26,2.758589,-4.464842,0.001477,1.477,2,-5.927,13.98696013,13.98696013,-0.386905983,
