0,BE,MM,Depth,Pitch
68,387,39,1.050000,-22.038486
69,397,40,1.055000,-22.132521
70,407,41,1.055000,-22.225056
71,397,42,1.059000,-22.291662
72,407,43,1.060000,-22.291662
73,417,44,1.060000,-22.340187
74,427,45,1.060000,-22.282238
75,437,46,1.060000,-22.254068
76,447,47,1.056000,-22.135241
77,457,48,1.051000,-21.938131
78,447,49,1.051000,-21.793146
79,457,50,1.045000,-21.534967
80,447,51,1.045000,-21.257059
81,457,52,1.038000,-20.941216
82,467,53,1.027000,-20.621346
83,457,54,1.027000,-20.330402
84,467,55,1.017000,-19.994591
85,477,56,1.007000,-19.686445
86,467,57,1.007000,-19.454031
87,477,58,1.000000,-19.185329
88,467,59,1.000000,-19.025089
89,477,60,0.992000,-18.871849
90,467,61,0.988000,-18.765594
91,457,62,0.988000,-18.747295
92,467,63,0.985000,-18.741697
93,457,64,0.985000,-18.721081
94,457,65,0.986000,-18.789143
95,467,66,0.987000,-18.868464
96,477,67,0.987000,-18.947750
97,467,68,0.989000,-19.078133
98,477,69,0.989000,-19.210880
99,467,70,0.991000,-19.262501
100,477,71,0.993000,-19.389967
101,487,72,0.995000,-19.422840
102,477,73,0.995000,-19.401272
103,487,74,0.997000,-19.393393
104,497,75,0.997000,-19.353283
105,507,76,0.995000,-19.249842
106,497,77,0.995000,-19.135271
107,507,78,0.992000,-19.009157
108,497,79,0.992000,-18.901377
109,507,80,0.990000,-18.680964
110,517,80,0.988000,-18.409939
111,527,80,0.985000,-18.206913
112,517,80,0.985000,-17.975578
113,527,80,0.985000,-17.753677
114,537,80,0.985000,-17.515385
115,547,80,0.981000,-17.241091
116,537,80,0.980000,-17.006735
117,537,80,0.980000,-16.901188
118,547,80,0.980000,-16.565884
119,557,80,0.980000,-16.306879
120,567,80,0.980000,-16.023096
121,577,80,0.980000,-15.709167
122,567,80,0.982000,-15.366526
123,577,80,0.983000,-15.069481
124,587,80,0.983000,-14.747123
125,577,80,0.988000,-14.330054
126,574,80,0.994000,-13.967769
127,584,80,0.994000,-13.599911
128,574,80,1.002000,-13.128280
129,584,79,1.002000,-12.798449
130,574,78,1.010000,-12.406034
131,564,77,1.023000,-11.953812
132,574,76,1.023000,-11.568174
133,564,75,1.038000,-11.181046
134,574,74,1.053000,-10.801300
135,584,73,1.053000,-10.476002
136,574,72,1.072000,-10.124092
137,584,71,1.072000,-9.829093
138,574,70,1.091000,-9.490286
139,564,69,1.114000,-9.221135
140,574,68,1.114000,-8.960972
141,564,67,1.139000,-8.687892
142,574,66,1.139000,-8.502105
143,564,65,1.164000,-8.282118
144,574,64,1.164000,-8.175958
145,564,63,1.191000,-7.991215
146,554,62,1.221000,-7.736504
147,564,61,1.221000,-7.736504
148,554,60,1.252000,-7.480805
149,564,59,1.252000,-7.356638
150,554,58,1.282000,-7.222326
151,544,57,1.315000,-7.074719
152,554,56,1.315000,-6.972715
153,544,55,1.345000,-6.842364
154,554,54,1.345000,-6.704083
155,544,53,1.377000,-6.625207
156,534,52,1.410000,-6.516544
157,544,51,1.410000,-6.393976
158,534,50,1.442000,-6.272924
159,544,49,1.473000,-6.235951
160,554,48,1.473000,-6.088780
161,544,47,1.506000,-6.004003
162,554,46,1.506000,-5.975769
163,544,45,1.537000,-5.952193
164,534,44,1.570000,-5.867722
165,544,43,1.570000,-5.876734
166,534,42,1.603000,-5.890443
167,544,41,1.603000,-5.929326
168,534,40,1.637000,-6.028403
169,524,39,1.674000,-6.109441
170,534,38,1.674000,-6.222813
171,524,39,1.710000,-6.365255
172,514,40,1.748000,-6.585465
173,524,41,1.748000,-6.787457
174,514,42,1.789000,-7.027333
175,504,43,1.832000,-7.175723
176,514,44,1.832000,-7.579148
177,504,45,1.875000,-7.723611
178,514,46,1.875000,-8.249677
179,504,47,1.917000,-8.555518
180,494,48,1.961000,-8.903056
181,504,49,1.961000,-9.346265
182,494,50,2.003000,-9.765787
183,504,51,2.003000,-10.150586
184,494,52,2.046000,-10.553806
185,504,53,2.046000,-10.759702
186,494,54,2.088000,-11.181840
187,484,55,2.129000,-11.530121
188,494,56,2.129000,-11.852092
189,484,57,2.168000,-12.186387
190,494,58,2.203000,-12.498904
191,484,59,2.203000,-12.594920
192,474,60,2.236000,-12.825015
193,484,61,2.265000,-12.889292
194,494,62,2.265000,-12.917026
195,503,63,2.265000,-12.923971
196,493,64,2.291000,-12.856567
197,503,65,2.312000,-12.718851
198,513,66,2.312000,-12.579282
199,503,67,2.330000,-12.369987
200,513,68,2.344000,-12.055266
201,523,69,2.344000,-11.783649
202,513,70,2.354000,-11.366223
203,523,71,2.362000,-11.147284
204,513,72,2.362000,-10.809541
205,523,73,2.368000,-10.272783
206,533,74,2.368000,-9.959689
207,523,75,2.372000,-9.236348
208,533,76,2.372000,-8.714822
209,523,77,2.373000,-8.126740
210,526,78,2.374000,-7.614599
211,536,79,2.374000,-6.971333
